"data_year","zone","habitat","nombre_pieces","loyer_moyen","surface_moyenne","moyenne_loyer_mensuel","nombre_observations"
2015,"69000","Appartement",2,12.8,48,610,1546
2015,"69000","Appartement",3,11.2,70,783,1305
2015,"69000","Appartement",4,10.4,98,1020,632
2015,"69000","Appartement",1,11.1,63,696,6389
2015,"69000","Appartement",1,14.6,32,463,1213
2015,"69000","Appartement",2,11.8,50,590,2088
2015,"69000","Appartement",3,10.5,70,733,1941
2015,"69000","Appartement",4,10.1,102,1036,1147
2015,"69000","Appartement",1,11.9,58,693,4642
2015,"69000","Appartement",1,15.1,31,467,1159
2015,"69000","Appartement",2,12.8,48,610,1546
2015,"69000","Appartement",3,11.2,70,783,1305
2015,"69000","Appartement",4,10.4,98,1020,632
2015,"69000","Appartement",1,11.1,63,696,6389
2015,"69000","Appartement",1,14.6,32,463,1213
2015,"69000","Appartement",2,11.8,50,590,2088
2015,"69000","Appartement",3,10.5,70,733,1941
2015,"69000","Appartement",4,10.1,102,1036,1147
2015,"69000","Appartement",1,11.5,61,697,5543
2015,"69000","Appartement",1,14.5,33,473,1435
2015,"69000","Appartement",2,12.2,49,598,2026
2015,"69000","Appartement",3,10.5,71,752,1360
2015,"69000","Appartement",4,10.5,116,1217,722
2015,"69000","Appartement",1,12.3,58,707,2574
2015,"69000","Appartement",1,11.1,62,691,2969
2015,"69000","Appartement",1,10.4,62,648,2069
2015,"69000","Appartement",1,14.6,32,463,322
2015,"69000","Appartement",2,11.5,48,554,495
2015,"69000","Appartement",3,9.9,67,661,810
2015,"69000","Appartement",4,9.4,90,848,442
2015,"69000","Appartement",1,10.9,60,657,786
2015,"69000","Appartement",1,10.2,63,643,1283
2015,"69000","Appartement",1,10.8,62,669,1449
2015,"69000","Appartement",1,14.1,33,464,343
2015,"69000","Appartement",2,11.6,50,584,455
2015,"69000","Appartement",3,10.1,72,729,364
2015,"69000","Appartement",4,9.7,94,905,287
2015,"69000","Appartement",1,11.5,57,664,494
2015,"69000","Appartement",1,10.5,64,672,955
2015,"69000","Appartement",1,11.5,63,731,1355
2015,"69000","Appartement",1,16.3,27,446,175
2015,"69000","Appartement",2,12.4,49,609,425
2015,"69000","Appartement",3,11.2,70,786,485
2015,"69000","Appartement",4,10.4,96,994,270
2015,"69000","Appartement",1,11.9,62,736,458
2015,"69000","Appartement",1,11.4,64,729,897
2015,"69000","Appartement",1,12.3,58,715,615
2015,"69000","Appartement",1,16.2,28,446,97
2015,"69000","Appartement",2,12.8,49,627,233
2015,"69000","Appartement",3,11.55,66,796,227
2015,"69000","Appartement",4,11.55,92,1009,58
2015,"69000","Appartement",1,11.8,55,644,330
2015,"69000","Appartement",1,12.5,60,750,285
2015,"69000","Appartement",1,11.5,61,697,5543
2015,"69000","Appartement",1,14.5,33,473,1435
2015,"69000","Appartement",2,12.2,49,598,2026
2015,"69000","Appartement",3,10.5,71,752,1360
2015,"69000","Appartement",4,10.5,116,1217,722
2015,"69000","Appartement",1,12.3,58,707,2574
2015,"69000","Appartement",1,11.1,62,691,2969
2015,"69000","Appartement",1,10.4,62,648,2069
2015,"69000","Appartement",1,14.6,32,463,322
2015,"69000","Appartement",2,11.5,48,554,495
2015,"69000","Appartement",3,9.9,67,661,810
2015,"69000","Appartement",4,9.4,90,848,442
2015,"69000","Appartement",1,10.9,60,657,786
2015,"69000","Appartement",1,10.2,63,643,1283
